,LGAI-EXAONE/EXAONE-3.5-32B-Instruct,Qwen/Qwen2.5-32B,Qwen/Qwen2.5-72B,Qwen/Qwen2.5-7B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.3-70B-Instruct,mistralai/Mixtral-8x7B-Instruct-v0.1,upstage/Solar-Open-100B,zai-org/glm-4-9b-chat-hf
LGAI-EXAONE/EXAONE-3.5-32B-Instruct,0.000000,48.632604,42.528980,41.641674,35.001073,41.278587,46.347513,31.259802,28.798357
Qwen/Qwen2.5-32B,48.632604,0.000000,29.474857,26.170515,45.945806,39.080023,38.294795,40.268922,49.739445
Qwen/Qwen2.5-72B,42.528980,29.474857,0.000000,19.962087,39.641178,34.225214,36.427507,34.001968,40.616170
Qwen/Qwen2.5-7B,41.641674,26.170515,19.962087,0.000000,38.673617,33.344517,35.512478,32.475758,39.861986
meta-llama/Llama-3.1-8B,35.001073,45.945806,39.641178,38.673617,0.000000,35.339438,41.441680,29.707234,26.987443
meta-llama/Llama-3.3-70B-Instruct,41.278587,39.080023,34.225214,33.344517,35.339438,0.000000,38.113042,29.192813,40.238113
mistralai/Mixtral-8x7B-Instruct-v0.1,46.347513,38.294795,36.427507,35.512478,41.441680,38.113042,0.000000,34.121072,42.128800
upstage/Solar-Open-100B,31.259802,40.268922,34.001968,32.475758,29.707234,29.192813,34.121072,0.000000,29.874528
zai-org/glm-4-9b-chat-hf,28.798357,49.739445,40.616170,39.861986,26.987443,40.238113,42.128800,29.874528,0.000000
